Food,Calcium (mg),Protein (g),Carbohydrate (g),Fat (g),Calorie (kcal)
Nanas,13,0.5,11.8,0.2,50
Ceri,13,0.5,8,0.4,50
Jambu Monyet,23,1.3,11.9,0.6,50
Ceri Hitam,25,1.1,14.6,0.4,50
Kecipir,54,6,7,1,49
Kacang Merah,7,0.7,16,0.7,48
Daun Mint,199,3.8,8,0.6,48
Peppermint,200,3.8,8,0.9,48
Buah Naga,3,1.1,9,0.1,48
Jeruk Mandarin,37,0.8,8.2,0.2,47
Plum,6,0.5,11.4,0.3,46
Jeruk,9,2,9,0.4,43
Buah Bit,16,1.6,10,0.2,43
Jeruk Bali,43,0.9,8.2,0.3,43
Pepaya,20,0.5,11,0.3,43
Jeruk Keprok,43,0.9,8.2,0.2,43
Jeruk Kunci,43,0.9,8.2,0.2,43
Cokelat,31,5.3,15,6,41
Wortel,33,0.9,9.6,0.2,41
Labu,27,0.6,6.5,0.1,40
Bawang Bombay,25,1.1,9.3,0.1,40
Petai,35,2.2,8.4,0.1,40
Persik,6,0.9,9.5,0.2,39
Bawang Merah,20,1.5,8.3,0.1,38
Jambu Kristal,13,0.6,8.3,0.3,38
Kacang Panjang,43,4.9,3.6,0.2,37
Jamur Enoki,17,2.7,5,0.2,37
Daun Singkong,165,5.5,6.5,0.5,37
Melon,39,1,4,0.5,36
Brokoli,47,1.1,7,0.4,34
Kubis,20,10,5,3,34
Jamur Shitake,2,2.2,6.8,0.5,34
Okra,81,2,7,0.2,33
Kale,150,2.9,4.4,0.9,33
Jamur Tiram,18,2.4,6,0.3,33
Strawberry,16,0.9,8,0.4,32
Bawang Daun,72,1.9,7.3,0.4,32
Stroberi,16,0.7,7,0.4,32
Bawang Putih,42,1.1,16,0.2,31
Buncis,37,1.8,7,0.1,31
Belimbing,4,1,6.7,0.3,31
Bawang Putih Liar,30,2.4,6.7,0.3,31
Belimbing,18,1.4,4,0.2,31
Belimbing,4,1,6.7,0.3,31
Belimbing Wuluh,4,1,6.7,0.3,31
Kailan,100,2.9,2.8,0.2,30
Kucai,92,3.3,4.4,0.7,30
Jeruk Lemon,26,1.1,9,0.3,29
Kecambah Kacang,36,4,2,0.1,28
Ketan,14,1.3,1.4,0.3,26
Kangkung,77,2.5,3.2,0.3,25
Arugula,160,2.6,3.7,0.7,25
Terong,9,1,6,0.2,25
Bayam,99,0.8,0.4,0.4,23
Bayam,99,2.9,3.6,0.4,23
Kecambah Alfalfa,32,4,2.1,0.2,23
Chicory,100,1.7,4.7,0.3,23
Daun Ketumbar,67,2.1,3.7,0.5,23
Pepaya,6,0.8,2.2,0,22
Paprika,27,3.1,7.7,0.3,22
Jamur,11,3.1,3.3,0.3,22
Lengkuas,40,1,3.1,0.1,20
Serai,65,1,2.2,0.1,20
Asparagus,24,2.2,3.9,0.2,20
Labu Siam,17,0.8,4.2,0.1,19
Tomat,6,0.7,3.9,0.2,18
Mango,13,1.8,14,0.4,18
Selada Bokor,36,1.4,2.9,0.2,16
Jambu Air,1,0.3,4,0.1,16
Melon,14,0.6,3.4,0.2,16
Mentimun,15,8.1,3.6,0.1,15
Aprikot,13,0.5,3.9,0.4,15
Pak Choi,105,1.5,2.2,0.2,13
Selada Air,120,2.3,1.3,0.1,11
